Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Area µm^2,Perimeter µm
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,73f87e78-bf4b-4d0b-9987-0a57cbe28992,PathAnnotationObject,,Image,Rectangle,75538.5,90884.4,27461092591,665691.7
L23-1 Cryo 2 Exp 15 ms Gain 1 Satur 100.tif,b1bb9129-5864-43e2-a7e5-eccd33181be7,PathAnnotationObject,,Image,Polygon,7580.3,67778.3,50473129.3,33337.5
L23-1 Cryo 2 Exp 15 ms Gain 1 Satur 100.tif,6a131907-caab-4e7b-bff8-32641b6e4709,PathAnnotationObject,,Image,Polygon,165109.9,71141,81555056.4,42333.3
L23-1 Cryo 2 Exp 15 ms Gain 1 Satur 100.tif,b192c6ee-904c-460a-9154-a861ba222172,PathAnnotationObject,,Image,Polygon,20339.7,16235.4,119707421.9,49121.7
L23-1 Cryo 2 Exp 15 ms Gain 1 Satur 100.tif,6c28c00e-413c-41ae-bad8-0c98c5eb1955,PathAnnotationObject,,Image,Polygon,115774.4,32364,92895759.5,43391.7
L23-1 Cryo 2 Exp 15 ms Gain 1 Satur 100.tif,3aeebaff-0fef-494a-9d2f-197c4c7758fc,PathAnnotationObject,,Image,Polygon,213336.4,29978.8,92195716.1,43920.8
L23-1 Cryo 2 Exp 15 ms Gain 1 Satur 100.tif,4be0a519-61b4-49cf-902f-775298bc94c3,PathAnnotationObject,,Image,Polygon,195817.1,88086.4,220723684.9,69139.3
L23-1 Cryo 2 Exp 15 ms Gain 1 Satur 100.tif,e3a9b4a8-6b9f-4669-b171-9862d10e1375,PathAnnotationObject,,Image,Polygon,160294.2,24360.7,89255533.9,46566.7
L23-1 Cryo 2 Exp 15 ms Gain 1 Satur 100.tif,dbd57d49-1ed6-4782-83f9-7ca8d03ded6e,PathAnnotationObject,,Image,Polygon,153415.4,72357.1,88065460.1,42023.4
L23-1 Cryo 2 Exp 15 ms Gain 1 Satur 100.tif,b9b8b582-ebed-4fad-85ba-0f1c5b9f0a89,PathAnnotationObject,,Image,Polygon,144671.7,77841.4,98251091.6,43985
